targetDistance,targetSpeed,curvature,turnP,turnI,turnD
820,0,0.0,0.1,0.005,0.01
1195,0,0.003226,0.375,0.005,0.0125
320,0,0.0,0.1,0.005,0.01
1310,0,-0.002941,0.373,0.005,0.009
620,0,0.0,0.1,0.005,0.01
500,0,-0.004167,0.45,0.005,0.011
590,0,0.0,0.1,0.005,0.01
710,0,0.002439,0.356,0.002,0.008
163,0,0.0,0.1,0.005,0.01
740,0,0.002439,0.356,0.002,0.008
520,0,0.0,0.1,0.005,0.01
680,0,0.002778,0.358,0.002,0.008
1613,0,0.0,0.1,0.005,0.03
530,0,-0.004167,0.45,0.005,0.025
1800,0,0.0,0.1,0.005,0.01
